lat,lon,timezone,state,finalCategory,displayValue,hourlyCategories,weather
24.75,-81.5,America/New_York,FL,0,0,0|0|0|0,
24.75,-81,America/New_York,FL,0,0,0|0|0|0,
25.25,-81,America/New_York,FL,0,0,0|0|0|0,
25.25,-80.75,America/New_York,FL,0,0,0|0|0|0,
25.25,-80.5,America/New_York,FL,0,0,0|0|0|0,
25.5,-81,America/New_York,FL,0,0,0|0|0|0,
25.5,-80.75,America/New_York,FL,0,0,0|0|0|0,
25.5,-80.5,America/New_York,FL,0,0,0|0|0|0,
25.75,-81.25,America/New_York,FL,0,0,0|0|0|0,
25.75,-81,America/New_York,FL,0,0,0|0|0|0,
25.75,-80.75,America/New_York,FL,0,0,0|0|0|0,
25.75,-80.5,America/New_York,FL,0,0,0|0|0|0,
25.75,-80.25,America/New_York,FL,0,0,0|0|0|0,
26,-81.75,America/New_York,FL,0,0,0|0|0|0,
26,-81.5,America/New_York,FL,0,0,0|0|0|0,
26,-81.25,America/New_York,FL,0,0,0|0|0|0,
26,-81,America/New_York,FL,0,0,0|0|0|0,
26,-80.75,America/New_York,FL,0,0,0|0|0|0,
26,-80.5,America/New_York,FL,0,0,0|0|0|0,
26,-80.25,America/New_York,FL,0,0,0|0|0|0,
26.25,-81.75,America/New_York,FL,0,0,0|0|0|0,
26.25,-81.5,America/New_York,FL,0,0,0|0|0|0,
26.25,-81.25,America/New_York,FL,0,0,0|0|0|0,
26.25,-81,America/New_York,FL,0,0,0|0|0|0,
26.25,-80.75,America/New_York,FL,0,0,0|0|0|0,
26.25,-80.5,America/New_York,FL,0,0,0|0|0|0,
26.25,-80.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
26.5,-82,America/New_York,FL,0,0,0|0|0|0,
26.5,-81.75,America/New_York,FL,0,0,0|0|0|0,
26.5,-81.5,America/New_York,FL,0,0,0|0|0|0,
26.5,-81.25,America/New_York,FL,0,0,0|0|0|0,
26.5,-81,America/New_York,FL,0,0,0|0|0|0,
26.5,-80.75,America/New_York,FL,0,0,0|0|0|0,
26.5,-80.5,America/New_York,FL,0,0,0|0|0|0,
26.5,-80.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
26.75,-82,America/New_York,FL,0,0,0|0|0|0,
26.75,-81.75,America/New_York,FL,0,0,0|0|0|0,
26.75,-81.5,America/New_York,FL,0,0,0|0|0|0,
26.75,-81.25,America/New_York,FL,0,0,0|0|0|0,
26.75,-81,America/New_York,FL,0,0,0|0|0|0,
26.75,-80.75,America/New_York,FL,0,0,0|0|0|0,
26.75,-80.5,America/New_York,FL,0,0,0|0|0|0,
26.75,-80.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none
27,-82.25,America/New_York,FL,0,0,0|0|0|1,
27,-82,America/New_York,FL,0,0,0|0|0|0,
27,-81.75,America/New_York,FL,0,0,0|0|0|0,
27,-81.5,America/New_York,FL,0,0,0|0|0|0,
27,-81.25,America/New_York,FL,0,0,0|0|0|0,
27,-81,America/New_York,FL,0,0,0|0|0|0,
27,-80.75,America/New_York,FL,0,0,0|0|0|0,
27,-80.5,America/New_York,FL,0,0,0|0|0|0,
27,-80.25,America/New_York,FL,0,0,0|0|0|0,
27.25,-82.5,America/New_York,FL,0,0,1|0|0|0,
27.25,-82.25,America/New_York,FL,0,0,0|0|0|0,
27.25,-82,America/New_York,FL,0,0,0|0|0|0,
27.25,-81.75,America/New_York,FL,0,0,0|0|0|0,
27.25,-81.5,America/New_York,FL,0,0,0|0|0|0,
27.25,-81.25,America/New_York,FL,0,0,0|0|0|0,
27.25,-81,America/New_York,FL,0,0,0|0|0|0,
27.25,-80.75,America/New_York,FL,0,0,0|0|0|0,
27.25,-80.5,America/New_York,FL,0,0,0|0|0|0,
27.25,-80.25,America/New_York,FL,0,0,0|0|0|0,
27.5,-82.5,America/New_York,FL,0,0.09,1|0|0|0,
27.5,-82.25,America/New_York,FL,0,0.13,1|0|0|0,
27.5,-82,America/New_York,FL,0,0.06,0|0|0|0,
27.5,-81.75,America/New_York,FL,0,0,0|0|0|0,
27.5,-81.5,America/New_York,FL,0,0.06,0|0|0|0,
27.5,-81.25,America/New_York,FL,0,0.13,1|0|0|1,
27.5,-81,America/New_York,FL,0,0.06,1|0|0|0,
27.5,-80.75,America/New_York,FL,0,0,0|0|0|0,
27.5,-80.5,America/New_York,FL,0,0,0|0|0|0,
27.75,-82.75,America/New_York,FL,0,0.38,1|0|0|0,
27.75,-82.25,America/New_York,FL,1,0.57,1|1|1|1,
27.75,-82,America/New_York,FL,0,0.38,1|0|0|1,
27.75,-81.75,America/New_York,FL,0,0.25,1|0|0|1,
27.75,-81.5,America/New_York,FL,0,0.38,1|1|0|0,
27.75,-81.25,America/New_York,FL,1,0.5,1|1|1|1,
27.75,-81,America/New_York,FL,0,0.31,1|0|0|0,
27.75,-80.75,America/New_York,FL,0,0.07,0|0|1|0,
27.75,-80.5,America/New_York,FL,0,0,0|0|0|0,
28,-82.75,America/New_York,FL,1,1.18,2|1|1|1,
28,-82.5,America/New_York,FL,1,1.07,2|2|1|1,
28,-82.25,America/New_York,FL,1,0.93,2|1|1|1,
28,-82,America/New_York,FL,1,0.88,1|1|1|1,
28,-81.75,America/New_York,FL,1,0.88,1|1|1|2,
28,-81.5,America/New_York,FL,1,0.88,2|1|1|2,
28,-81.25,America/New_York,FL,1,0.88,1|1|1|1,
28,-81,America/New_York,FL,1,0.63,1|1|1|0,
28,-80.75,America/New_York,FL,0,0.23,0|0|0|0,
28.25,-82.75,America/New_York,FL,3,1.8,3|3|2|3,
28.25,-82.5,America/New_York,FL,1,1.27,3|1|1|1,
28.25,-82.25,America/New_York,FL,1,1.06,2|1|1|2,
28.25,-82,America/New_York,FL,1,1.31,1|1|2|2,
28.25,-81.75,America/New_York,FL,2,1.5,1|2|2|2,
28.25,-81.5,America/New_York,FL,1,1.31,2|1|1|2,
28.25,-81.25,America/New_York,FL,1,1.06,1|1|1|1,
28.25,-81,America/New_York,FL,1,0.81,1|1|1|1,
28.25,-80.75,America/New_York,FL,0,0.5,0|0|1|0,
28.5,-82.5,America/New_York,FL,1,1.15,3|3|1|1,
28.5,-82.25,America/New_York,FL,1,1.19,3|2|1|1,
28.5,-82,America/New_York,FL,2,1.69,2|1|2|2,
28.5,-81.75,America/New_York,FL,2,2,2|2|2|2,
28.5,-81.5,America/New_York,FL,2,1.75,2|2|2|2,
28.5,-81.25,America/New_York,FL,1,1.31,1|1|2|2,
28.5,-81,America/New_York,FL,1,1,1|1|1|1,
28.5,-80.75,America/New_York,FL,1,0.83,1|1|1|1,
28.75,-82.5,America/New_York,FL,1,1.15,3|3|1|1,
28.75,-82.25,America/New_York,FL,1,1.19,3|3|1|1,
28.75,-82,America/New_York,FL,2,1.69,3|2|1|2,
28.75,-81.75,America/New_York,FL,3,2.06,3|3|3|3,
28.75,-81.5,America/New_York,FL,2,2,2|2|2|2,
28.75,-81.25,America/New_York,FL,2,1.69,2|2|2|1,
28.75,-81,America/New_York,FL,1,1.33,1|1|1|1,
28.75,-80.75,America/New_York,FL,1,1.1,1|1|2|1,
29,-82.75,America/New_York,FL,3,1.91,4|4|3|3,
29,-82.5,America/New_York,FL,1,1.53,4|3|1|1,
29,-82.25,America/New_York,FL,1,1.19,3|1|1|1,
29,-82,America/New_York,FL,1,1.25,3|1|1|1,
29,-81.75,America/New_York,FL,1,1.5,1|1|1|1,
29,-81.5,America/New_York,FL,2,1.69,3|2|2|2,
29,-81.25,America/New_York,FL,2,1.73,2|2|2|2,
29,-81,America/New_York,FL,2,1.64,2|1|3|2,
