lat,lon,timezone,state,finalCategory,displayValue,hourlyCategories,weather
28,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / numerous · thunderstorms · none · none
28,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28.25,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28.25,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28.25,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28.25,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
28.25,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
28.5,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · thunderstorms · none · none / scattered · thunderstorms · none · none
